variant,phase,D,L,calls,resolutions_model_first,first_availability_numerator,first_availability_denominator,first_availability_value,first_output_legality_numerator,first_output_legality_denominator,first_output_legality_value,first_decision_success_numerator,first_decision_success_denominator,first_decision_success_value,model_success_numerator,model_success_denominator,model_success_value,illegal_recovery_numerator,illegal_recovery_denominator,illegal_recovery_value,provider_error_recovery_numerator,provider_error_recovery_denominator,provider_error_recovery_value,fallback_numerator,fallback_denominator,fallback_value,autoplay_numerator,autoplay_denominator,autoplay_value,retry_numerator,retry_denominator,retry_value,attempt_distribution_1,provider_latency_ms_n,provider_latency_ms_p50,provider_latency_ms_p95,provider_latency_ms_mean,provider_latency_ms_max,decision_latency_ms_n,decision_latency_ms_p50,decision_latency_ms_p95,decision_latency_ms_mean,decision_latency_ms_max,success_latency_ms_n,success_latency_ms_p50,success_latency_ms_p95,success_latency_ms_mean,success_latency_ms_max,failure_latency_ms_n,failure_latency_ms_p50,failure_latency_ms_p95,failure_latency_ms_mean,failure_latency_ms_max,timeout_latency_ms_n,timeout_latency_ms_p50,timeout_latency_ms_p95,timeout_latency_ms_mean,timeout_latency_ms_max,usage_coverage_numerator,usage_coverage_denominator,usage_coverage_value,prompt_tokens_known,completion_tokens_known,resolutions_system_fallback,resolutions_model_retry,attempt_distribution_2
single_generation,bidding,4,4,4,4,4,4,1.0,4,4,1.0,4,4,1.0,4,4,1.0,0,0,,0,0,,0,4,0.0,0,4,0.0,0,4,0.0,4,4,61,63,61.0,63,4,63.30156326293945,66.25056266784668,63.98272514343262,66.25056266784668,4,63.30156326293945,66.25056266784668,63.98272514343262,66.25056266784668,0,,,,,0,,,,,4,4,1.0,9308,160,,,
single_generation,playing,232,232,232,220,232,232,1.0,220,232,0.9482758620689655,220,232,0.9482758620689655,220,232,0.9482758620689655,0,12,0.0,0,0,,12,232,0.05172413793103448,0,232,0.0,0,232,0.0,232,232,60,61,59.99568965517241,110,232,63.17543983459473,64.10336494445801,63.61194417394441,114.06683921813965,220,63.20786476135254,64.10336494445801,63.6427337473089,114.06683921813965,12,63.055992126464844,63.356637954711914,63.04746866226196,63.356637954711914,0,,,,,232,232,1.0,876120,16076,12,,
generic_retry,bidding,4,4,4,4,4,4,1.0,4,4,1.0,4,4,1.0,4,4,1.0,0,0,,0,0,,0,4,0.0,0,4,0.0,0,4,0.0,4,4,60,62,60.5,62,4,62.3018741607666,63.79985809326172,62.450408935546875,63.79985809326172,4,62.3018741607666,63.79985809326172,62.450408935546875,63.79985809326172,0,,,,,0,,,,,4,4,1.0,9308,160,,,
generic_retry,playing,232,232,244,220,232,232,1.0,220,232,0.9482758620689655,220,232,0.9482758620689655,232,232,1.0,12,12,1.0,0,0,,0,232,0.0,0,232,0.0,12,232,0.05172413793103448,220,244,60,61,59.82377049180328,64,232,61.94949150085449,122.2071647644043,65.17717550540793,127.14600563049316,232,61.94949150085449,122.2071647644043,65.17717550540793,127.14600563049316,0,,,,,0,,,,,244,244,1.0,918652,16944,,12,12
rule_feedback,bidding,4,4,4,4,4,4,1.0,4,4,1.0,4,4,1.0,4,4,1.0,0,0,,0,0,,0,4,0.0,0,4,0.0,0,4,0.0,4,4,60,61,60.25,61,4,62.49356269836426,63.47036361694336,62.53236532211304,63.47036361694336,4,62.49356269836426,63.47036361694336,62.53236532211304,63.47036361694336,0,,,,,0,,,,,4,4,1.0,9308,160,,,
rule_feedback,playing,232,232,244,220,232,232,1.0,220,232,0.9482758620689655,220,232,0.9482758620689655,232,232,1.0,12,12,1.0,0,0,,0,232,0.0,0,232,0.0,12,232,0.05172413793103448,220,244,60,61,59.795081967213115,62,232,62.584877014160156,122.52449989318848,65.6653056884634,124.8924732208252,232,62.584877014160156,122.52449989318848,65.6653056884634,124.8924732208252,0,,,,,0,,,,,244,244,1.0,921052,16944,,12,12
