variant,seed,D,L,calls,resolutions_model_first,resolutions_system_fallback,first_availability_numerator,first_availability_denominator,first_availability_value,first_output_legality_numerator,first_output_legality_denominator,first_output_legality_value,first_decision_success_numerator,first_decision_success_denominator,first_decision_success_value,model_success_numerator,model_success_denominator,model_success_value,illegal_recovery_numerator,illegal_recovery_denominator,illegal_recovery_value,provider_error_recovery_numerator,provider_error_recovery_denominator,provider_error_recovery_value,fallback_numerator,fallback_denominator,fallback_value,autoplay_numerator,autoplay_denominator,autoplay_value,retry_numerator,retry_denominator,retry_value,attempt_distribution_1,provider_latency_ms_n,provider_latency_ms_p50,provider_latency_ms_p95,provider_latency_ms_mean,provider_latency_ms_max,decision_latency_ms_n,decision_latency_ms_p50,decision_latency_ms_p95,decision_latency_ms_mean,decision_latency_ms_max,success_latency_ms_n,success_latency_ms_p50,success_latency_ms_p95,success_latency_ms_mean,success_latency_ms_max,failure_latency_ms_n,failure_latency_ms_p50,failure_latency_ms_p95,failure_latency_ms_mean,failure_latency_ms_max,timeout_latency_ms_n,timeout_latency_ms_p50,timeout_latency_ms_p95,timeout_latency_ms_mean,timeout_latency_ms_max,usage_coverage_numerator,usage_coverage_denominator,usage_coverage_value,prompt_tokens_known,completion_tokens_known,resolutions_model_retry,attempt_distribution_2
single_generation,reliability-test-01,118,118,118,112,6,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,112,118,0.9491525423728814,0,6,0.0,0,0,,6,118,0.05084745762711865,0,118,0.0,0,118,0.0,118,118,60,61,59.779661016949156,62,118,62.96253204345703,63.9195442199707,62.97793630826271,64.59307670593262,112,62.95657157897949,63.9195442199707,62.975102237292695,64.59307670593262,6,62.98470497131348,63.306570053100586,63.03083896636963,63.306570053100586,0,,,,,118,118,1.0,442528,8116,,
single_generation,reliability-test-02,118,118,118,112,6,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,112,118,0.9491525423728814,0,6,0.0,0,0,,6,118,0.05084745762711865,0,118,0.0,0,118,0.0,118,118,60,61,60.24576271186441,110,118,63.356637954711914,64.69225883483887,64.25852088604944,114.06683921813965,112,63.39669227600098,64.69225883483887,64.32250780718667,114.06683921813965,6,63.055992126464844,63.356637954711914,63.0640983581543,63.356637954711914,0,,,,,118,118,1.0,442900,8120,,
generic_retry,reliability-test-01,118,118,124,112,,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,118,118,1.0,6,6,1.0,0,0,,0,118,0.0,0,118,0.0,6,118,0.05084745762711865,112,124,60,61,59.92741935483871,64,118,61.9356632232666,123.3828067779541,65.1530431488813,127.14600563049316,118,61.9356632232666,123.3828067779541,65.1530431488813,127.14600563049316,0,,,,,0,,,,,124,124,1.0,463784,8550,6,6
generic_retry,reliability-test-02,118,118,124,112,,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,118,118,1.0,6,6,1.0,0,0,,0,118,0.0,0,118,0.0,6,118,0.05084745762711865,112,124,60,60,59.74193548387097,61,118,61.96904182434082,122.2071647644043,65.10887509685452,123.53110313415527,118,61.96904182434082,122.2071647644043,65.10887509685452,123.53110313415527,0,,,,,0,,,,,124,124,1.0,464176,8554,6,6
rule_feedback,reliability-test-01,118,118,124,112,,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,118,118,1.0,6,6,1.0,0,0,,0,118,0.0,0,118,0.0,6,118,0.05084745762711865,112,124,60,61,59.82258064516129,62,118,62.39914894104004,122.52449989318848,65.45193518622447,123.51584434509277,118,62.39914894104004,122.52449989318848,65.45193518622447,123.51584434509277,0,,,,,0,,,,,124,124,1.0,464984,8550,6,6
rule_feedback,reliability-test-02,118,118,124,112,,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,118,118,1.0,6,6,1.0,0,0,,0,118,0.0,0,118,0.0,6,118,0.05084745762711865,112,124,60,61,59.78225806451613,61,118,62.691688537597656,123.09432029724121,65.77247482235148,124.8924732208252,118,62.691688537597656,123.09432029724121,65.77247482235148,124.8924732208252,0,,,,,0,,,,,124,124,1.0,465376,8554,6,6
