variant,seed,D,L,calls,resolutions_model_first,resolutions_system_fallback,first_availability_numerator,first_availability_denominator,first_availability_value,first_output_legality_numerator,first_output_legality_denominator,first_output_legality_value,first_decision_success_numerator,first_decision_success_denominator,first_decision_success_value,model_success_numerator,model_success_denominator,model_success_value,illegal_recovery_numerator,illegal_recovery_denominator,illegal_recovery_value,provider_error_recovery_numerator,provider_error_recovery_denominator,provider_error_recovery_value,fallback_numerator,fallback_denominator,fallback_value,autoplay_numerator,autoplay_denominator,autoplay_value,retry_numerator,retry_denominator,retry_value,attempt_distribution_1,provider_latency_ms_n,provider_latency_ms_p50,provider_latency_ms_p95,provider_latency_ms_mean,provider_latency_ms_max,decision_latency_ms_n,decision_latency_ms_p50,decision_latency_ms_p95,decision_latency_ms_mean,decision_latency_ms_max,success_latency_ms_n,success_latency_ms_p50,success_latency_ms_p95,success_latency_ms_mean,success_latency_ms_max,failure_latency_ms_n,failure_latency_ms_p50,failure_latency_ms_p95,failure_latency_ms_mean,failure_latency_ms_max,timeout_latency_ms_n,timeout_latency_ms_p50,timeout_latency_ms_p95,timeout_latency_ms_mean,timeout_latency_ms_max,usage_coverage_numerator,usage_coverage_denominator,usage_coverage_value,prompt_tokens_known,completion_tokens_known,resolutions_model_retry,attempt_distribution_2
single_generation,reliability-test-01,118,118,118,112,6,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,112,118,0.9491525423728814,0,6,0.0,0,0,,6,118,0.05084745762711865,0,118,0.0,0,118,0.0,118,118,60,61,59.82203389830509,62,118,62.992095947265625,63.91143798828125,63.01428503909354,64.3770694732666,112,63.01283836364746,63.91143798828125,63.03452381065914,64.3770694732666,6,62.838077545166016,63.120365142822266,62.636494636535645,63.120365142822266,0,,,,,118,118,1.0,442528,8116,,
single_generation,reliability-test-02,118,118,118,112,6,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,112,118,0.9491525423728814,0,6,0.0,0,0,,6,118,0.05084745762711865,0,118,0.0,0,118,0.0,118,118,60,61,60.07627118644068,96,118,63.36665153503418,64.57996368408203,64.0209408129676,99.49398040771484,112,63.33351135253906,64.57996368408203,64.04505244323185,99.49398040771484,6,63.49062919616699,63.76004219055176,63.57085704803467,63.76004219055176,0,,,,,118,118,1.0,442900,8120,,
generic_retry,reliability-test-01,118,118,124,112,,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,118,118,1.0,6,6,1.0,0,0,,0,118,0.0,0,118,0.0,6,118,0.05084745762711865,112,124,60,61,60.08870967741935,62,118,62.317848205566406,122.8327751159668,65.3591499490253,123.76141548156738,118,62.317848205566406,122.8327751159668,65.3591499490253,123.76141548156738,0,,,,,0,,,,,124,124,1.0,463784,8550,6,6
generic_retry,reliability-test-02,118,118,124,112,,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,118,118,1.0,6,6,1.0,0,0,,0,118,0.0,0,118,0.0,6,118,0.05084745762711865,112,124,60,61,59.895161290322584,62,118,62.114715576171875,122.68733978271484,65.1982335721032,123.64602088928223,118,62.114715576171875,122.68733978271484,65.1982335721032,123.64602088928223,0,,,,,0,,,,,124,124,1.0,464176,8554,6,6
rule_feedback,reliability-test-01,118,118,124,112,,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,118,118,1.0,6,6,1.0,0,0,,0,118,0.0,0,118,0.0,6,118,0.05084745762711865,112,124,60,60,59.79838709677419,62,118,62.394142150878906,122.4832534790039,65.46869116314387,124.6035099029541,118,62.394142150878906,122.4832534790039,65.46869116314387,124.6035099029541,0,,,,,0,,,,,124,124,1.0,464984,8550,6,6
rule_feedback,reliability-test-02,118,118,124,112,,118,118,1.0,112,118,0.9491525423728814,112,118,0.9491525423728814,118,118,1.0,6,6,1.0,0,0,,0,118,0.0,0,118,0.0,6,118,0.05084745762711865,112,124,60,61,59.82258064516129,62,118,62.72745132446289,123.9781379699707,65.82225177247645,124.94730949401855,118,62.72745132446289,123.9781379699707,65.82225177247645,124.94730949401855,0,,,,,0,,,,,124,124,1.0,465376,8554,6,6
