variant,phase,D,L,calls,resolutions_model_first,first_availability_numerator,first_availability_denominator,first_availability_value,first_output_legality_numerator,first_output_legality_denominator,first_output_legality_value,first_decision_success_numerator,first_decision_success_denominator,first_decision_success_value,model_success_numerator,model_success_denominator,model_success_value,illegal_recovery_numerator,illegal_recovery_denominator,illegal_recovery_value,provider_error_recovery_numerator,provider_error_recovery_denominator,provider_error_recovery_value,fallback_numerator,fallback_denominator,fallback_value,autoplay_numerator,autoplay_denominator,autoplay_value,retry_numerator,retry_denominator,retry_value,attempt_distribution_1,provider_latency_ms_n,provider_latency_ms_p50,provider_latency_ms_p95,provider_latency_ms_mean,provider_latency_ms_max,decision_latency_ms_n,decision_latency_ms_p50,decision_latency_ms_p95,decision_latency_ms_mean,decision_latency_ms_max,success_latency_ms_n,success_latency_ms_p50,success_latency_ms_p95,success_latency_ms_mean,success_latency_ms_max,failure_latency_ms_n,failure_latency_ms_p50,failure_latency_ms_p95,failure_latency_ms_mean,failure_latency_ms_max,timeout_latency_ms_n,timeout_latency_ms_p50,timeout_latency_ms_p95,timeout_latency_ms_mean,timeout_latency_ms_max,usage_coverage_numerator,usage_coverage_denominator,usage_coverage_value,prompt_tokens_known,completion_tokens_known,resolutions_system_fallback,resolutions_model_retry,attempt_distribution_2
single_generation,bidding,5,5,5,5,5,5,1.0,5,5,1.0,5,5,1.0,5,5,1.0,0,0,,0,0,,0,5,0.0,0,5,0.0,0,5,0.0,5,5,36912,115498,59442.8,115498,5,36920.75538635254,115502.6159286499,59447.92261123657,115502.6159286499,5,36920.75538635254,115502.6159286499,59447.92261123657,115502.6159286499,0,,,,,0,,,,,5,5,1.0,4045,14851,,,
single_generation,playing,100,100,100,99,99,100,0.99,99,99,1.0,99,100,0.99,99,100,0.99,0,0,,0,1,0.0,1,100,0.01,0,100,0.0,0,100,0.0,100,100,19490,84220,27694.43,165652,100,19494.738817214966,84225.79860687256,27700.94262123108,165656.65006637573,99,20362.00499534607,85897.80282974243,27978.38582414569,165656.65006637573,1,234.06553268432617,234.06553268432617,234.06553268432617,234.06553268432617,0,,,,,99,100,0.99,124309,108570,1,,
generic_retry,bidding,5,5,5,5,5,5,1.0,5,5,1.0,5,5,1.0,5,5,1.0,0,0,,0,0,,0,5,0.0,0,5,0.0,0,5,0.0,5,5,21873,77680,33192.0,77680,5,21877.48146057129,77685.10055541992,33196.809577941895,77685.10055541992,5,21877.48146057129,77685.10055541992,33196.809577941895,77685.10055541992,0,,,,,0,,,,,5,5,1.0,4039,8097,,,
generic_retry,playing,91,91,93,89,90,91,0.989010989010989,89,90,0.9888888888888889,89,91,0.978021978021978,91,91,1.0,1,1,1.0,1,1,1.0,0,91,0.0,0,91,0.0,2,91,0.02197802197802198,89,93,18619,95480,30517.354838709678,180234,91,18352.569580078125,84898.68521690369,31192.63263325115,275721.60720825195,91,18352.569580078125,84898.68521690369,31192.63263325115,275721.60720825195,0,,,,,0,,,,,92,93,0.989247311827957,113931,112256,,2,2
rule_feedback,bidding,4,4,4,4,4,4,1.0,4,4,1.0,4,4,1.0,4,4,1.0,0,0,,0,0,,0,4,0.0,0,4,0.0,0,4,0.0,4,4,16653,63660,32346.5,63660,4,16656.484127044678,63664.31665420532,32350.327253341675,63664.31665420532,4,16656.484127044678,63664.31665420532,32350.327253341675,63664.31665420532,0,,,,,0,,,,,4,4,1.0,3222,5059,,,
rule_feedback,playing,83,83,85,81,83,83,1.0,81,83,0.9759036144578314,81,83,0.9759036144578314,83,83,1.0,2,2,1.0,0,0,,0,83,0.0,0,83,0.0,2,83,0.024096385542168676,81,85,17471,89695,25732.55294117647,121696,83,18640.39421081543,89699.06044006348,26357.30101688799,121700.17075538635,83,18640.39421081543,89699.06044006348,26357.30101688799,121700.17075538635,0,,,,,0,,,,,85,85,1.0,104935,103833,,2,2
